transaction_id,amount,merchant_category,hour_of_day,is_weekend,txn_count_1h,amount_zscore_user,device_risk_score,geo_distance_km
CL001,12.50,5,9,0,1,-0.1,0.04,0.8
CL002,28.75,2,11,0,1,0.0,0.06,1.2
CL003,42.00,7,13,0,2,0.2,0.08,2.1
CL004,67.25,3,14,0,1,-0.3,0.07,1.5
CL005,18.99,5,10,0,1,-0.4,0.05,0.5
CL006,89.50,8,12,1,2,0.1,0.10,3.2
CL007,55.00,6,15,0,1,0.0,0.05,1.8
CL008,124.80,4,16,1,1,0.5,0.12,4.5
CL009,35.40,2,11,0,1,-0.2,0.06,1.0
CL010,72.10,10,14,0,2,0.3,0.09,2.4
CL011,21.99,5,13,0,1,-0.5,0.04,0.7
CL012,156.00,8,17,1,1,0.6,0.11,5.1
CL013,48.20,7,12,0,1,0.0,0.07,1.6
CL014,33.75,3,10,0,1,-0.1,0.06,1.1
CL015,95.00,9,18,1,2,0.4,0.13,3.8
CL016,29.40,5,11,0,1,-0.3,0.05,0.9
CL017,64.50,6,15,0,1,0.1,0.08,2.0
CL018,108.25,4,16,1,2,0.5,0.14,4.7
CL019,52.00,2,13,0,1,0.0,0.07,1.7
CL020,87.90,8,17,1,1,0.3,0.10,3.5
CL021,15.25,5,9,0,1,-0.6,0.04,0.4
CL022,143.00,9,18,0,2,0.7,0.15,5.2
CL023,38.60,3,12,0,1,-0.1,0.06,1.3
CL024,76.40,7,14,0,1,0.2,0.09,2.6
CL025,25.99,5,11,0,1,-0.4,0.05,0.8
CL026,112.50,8,16,1,2,0.5,0.12,4.3
CL027,44.75,2,13,0,1,0.0,0.07,1.5
CL028,68.20,6,15,0,1,0.1,0.08,2.2
CL029,191.00,9,17,1,2,0.8,0.16,5.8
CL030,32.40,5,10,0,1,-0.2,0.05,1.0
