transaction_id,amount,merchant_category,hour_of_day,is_weekend,txn_count_1h,amount_zscore_user,device_risk_score,geo_distance_km
FR001,3450.00,13,2,0,7,3.8,0.92,85.0
FR002,2890.00,13,1,0,8,4.1,0.88,92.0
FR003,4720.00,13,3,0,6,4.5,0.94,110.0
FR004,5100.00,13,2,0,9,5.2,0.96,120.0
FR005,1850.00,7,23,0,5,3.2,0.81,68.0
FR006,3200.00,13,4,0,7,3.9,0.89,78.0
FR007,4500.00,13,2,0,8,4.3,0.93,98.0
FR008,2100.00,13,1,0,6,3.1,0.85,72.0
FR009,3850.00,13,3,0,7,4.0,0.91,88.0
FR010,5950.00,13,0,0,10,5.5,0.98,135.0
FR011,68.00,5,14,0,1,0.0,0.06,1.5
FR012,2750.00,13,2,0,6,3.5,0.87,75.0
FR013,4250.00,13,1,0,8,4.2,0.92,102.0
FR014,89.50,3,11,0,1,0.1,0.08,2.0
FR015,3650.00,13,4,0,7,3.7,0.90,82.0
FR016,5400.00,7,2,0,9,4.8,0.94,115.0
FR017,4100.00,13,3,0,7,4.1,0.91,95.0
FR018,2950.00,13,1,0,6,3.4,0.86,80.0
FR019,3300.00,13,2,0,8,3.9,0.89,88.0
FR020,4800.00,13,0,0,9,4.6,0.95,108.0
