transaction_id,amount,merchant_category,hour_of_day,is_weekend,txn_count_1h,amount_zscore_user,device_risk_score,geo_distance_km
SUS001,45.00,5,14,0,1,0.0,0.06,1.5
SUS002,32.50,3,11,0,1,-0.2,0.05,1.0
SUS003,520.00,13,2,0,3,2.1,0.55,42.0
SUS004,78.25,7,15,0,1,0.2,0.08,2.3
SUS005,89.00,8,16,1,2,0.4,0.10,3.1
SUS006,1240.00,13,1,0,5,3.2,0.78,68.0
SUS007,52.40,5,13,0,1,0.0,0.07,1.6
SUS008,124.50,9,17,1,1,0.6,0.13,4.8
SUS009,810.00,7,23,0,4,2.7,0.62,55.0
SUS010,38.90,2,10,0,1,-0.3,0.05,0.8
SUS011,67.75,6,12,0,1,0.1,0.08,2.1
SUS012,950.00,13,3,0,6,3.5,0.71,72.0
SUS013,42.10,5,14,0,1,-0.1,0.06,1.4
SUS014,156.80,8,18,1,2,0.7,0.14,5.4
SUS015,1850.00,13,2,0,7,3.8,0.85,80.0
SUS016,29.50,3,11,0,1,-0.4,0.04,0.7
SUS017,84.20,7,15,0,1,0.3,0.09,2.7
SUS018,2400.00,13,1,0,8,4.1,0.91,95.0
SUS019,55.00,5,13,0,1,0.0,0.07,1.7
SUS020,108.90,9,16,1,2,0.5,0.12,3.9
SUS021,485.00,7,22,0,3,1.9,0.48,38.0
SUS022,71.25,6,14,0,1,0.2,0.08,2.4
SUS023,38.40,2,11,0,1,-0.2,0.05,0.9
SUS024,690.00,13,4,0,5,2.8,0.66,58.0
SUS025,92.50,8,17,1,1,0.4,0.11,3.6
