transaction_id,amount,merchant_category,hour_of_day,is_weekend,txn_count_1h,amount_zscore_user,device_risk_score,geo_distance_km
AN001,100.00,5,14,0,1,0.0,0.10,2.0
AN002,100.00,5,14,0,1,0.0,0.10,2.0
AN003,100.00,5,14,0,1,0.0,0.10,2.0
AN004,100.00,5,14,0,1,0.0,0.10,2.0
AN005,100.00,5,14,0,1,0.0,0.10,2.0
AN006,100.00,5,14,0,1,0.0,0.10,2.0
AN007,500.00,8,16,1,2,0.5,0.15,4.0
AN008,500.00,8,16,1,2,0.5,0.15,4.0
AN009,500.00,8,16,1,2,0.5,0.15,4.0
AN010,500.00,8,16,1,2,0.5,0.15,4.0
AN011,500.00,8,16,1,2,0.5,0.15,4.0
DUP001,250.00,7,15,0,1,0.3,0.12,3.0
DUP001,250.00,7,15,0,1,0.3,0.12,3.0
DUP001,250.00,7,15,0,1,0.3,0.12,3.0
DUP002,1000.00,9,17,1,2,0.7,0.18,5.5
DUP002,1000.00,9,17,1,2,0.7,0.18,5.5
DUP002,1000.00,9,17,1,2,0.7,0.18,5.5
AN015,200.00,5,14,0,1,0.0,0.10,2.0
AN016,300.00,5,14,0,1,0.0,0.10,2.0
AN017,400.00,5,14,0,1,0.0,0.10,2.0
AN018,150.00,5,14,0,1,0.0,0.10,2.0
AN019,250.00,5,14,0,1,0.0,0.10,2.0
AN020,350.00,5,14,0,1,0.0,0.10,2.0
AN021,450.00,5,14,0,1,0.0,0.10,2.0
AN022,550.00,5,14,0,1,0.0,0.10,2.0
AN023,650.00,5,14,0,1,0.0,0.10,2.0
AN024,750.00,5,14,0,1,0.0,0.10,2.0
AN025,850.00,5,14,0,1,0.0,0.10,2.0
AN026,950.00,5,14,0,1,0.0,0.10,2.0
AN027,1050.00,5,14,0,1,0.0,0.10,2.0
